,store_id,year_month,amount
0,0,2016-06,747000.0
1,0,2016-07,1005000.0
2,0,2016-08,871571.4285714285
3,0,2016-09,897857.1428571428
4,0,2016-10,835428.5714285715
5,0,2016-11,697000.0
6,0,2016-12,761857.1428571428
7,0,2017-01,585642.8571428572
8,0,2017-02,794000.0
9,0,2017-03,720257.1428571428
10,0,2017-04,685285.7142857143
11,0,2017-05,744428.5714285715
12,0,2017-06,682000.0
13,0,2017-07,728285.7142857143
14,0,2017-08,749000.0
15,0,2017-09,840857.1428571428
16,0,2017-10,600571.4285714286
17,0,2017-11,630857.1428571428
18,0,2017-12,812714.2857142857
19,0,2018-01,643142.8571428572
20,0,2018-02,685285.7142857143
21,0,2018-03,848428.5714285715
22,0,2018-04,636142.8571428572
23,0,2018-05,686428.5714285715
24,0,2018-06,707285.7142857143
25,0,2018-07,758714.2857142857
26,0,2018-08,679857.1428571428
27,0,2018-09,651857.1428571428
28,0,2018-10,739000.0
29,0,2018-11,676000.0
30,0,2018-12,874571.4285714286
31,0,2019-01,682857.1428571428
32,0,2019-02,515285.71428571426
0,1,2016-06,137214.2857142857
1,1,2016-07,163000.0
2,1,2016-08,118142.85714285714
3,1,2016-09,90428.57142857142
4,1,2016-10,118071.42857142857
5,1,2016-11,111857.14285714286
6,1,2016-12,115571.42857142857
7,1,2017-01,129642.85714285714
8,1,2017-02,160214.2857142857
9,1,2017-03,168428.57142857142
10,1,2017-04,152571.42857142858
11,1,2017-05,107500.0
12,1,2017-06,110357.14285714286
13,1,2017-07,132571.42857142858
14,1,2017-08,107642.85714285714
15,1,2017-09,131357.14285714287
16,1,2017-10,80142.85714285714
17,1,2017-11,110142.85714285714
18,1,2017-12,100714.28571428571
19,1,2018-01,109571.42857142857
20,1,2018-02,94214.28571428571
21,1,2018-03,108357.14285714286
22,1,2018-04,108857.14285714286
23,1,2018-05,80500.0
24,1,2018-06,78285.71428571429
25,1,2018-07,100785.71428571429
26,1,2018-08,92142.85714285714
27,1,2018-09,63571.42857142857
28,1,2018-10,95000.0
29,1,2018-11,80785.71428571429
30,1,2018-12,85285.71428571429
31,1,2019-01,148285.7142857143
32,1,2019-02,77428.57142857142
0,2,2016-06,260714.2857142857
1,2,2016-07,82857.14285714286
2,2,2016-08,131428.57142857142
3,2,2016-09,142857.14285714287
4,2,2016-10,109714.28571428571
5,2,2016-11,198571.42857142855
6,2,2016-12,160000.0
7,2,2017-01,180714.2857142857
8,2,2017-02,154285.7142857143
9,2,2017-03,43571.42857142857
10,2,2017-04,201428.57142857142
11,2,2017-05,186428.57142857142
12,2,2017-06,120571.42857142855
13,2,2017-07,207142.85714285716
14,2,2017-08,190000.0
15,2,2017-09,232857.14285714284
16,2,2017-10,266714.2857142857
17,2,2017-11,252857.14285714284
18,2,2017-12,238571.42857142858
19,2,2018-01,299714.2857142857
20,2,2018-02,312857.14285714284
21,2,2018-03,189714.2857142857
22,2,2018-04,283571.4285714286
23,2,2018-05,472857.14285714284
24,2,2018-06,354285.71428571426
25,2,2018-07,689285.7142857143
26,2,2018-08,457857.14285714284
27,2,2018-09,480714.2857142857
28,2,2018-10,510000.0
29,2,2018-11,185428.57142857145
30,2,2018-12,340714.2857142857
31,2,2019-01,407857.14285714284
32,2,2019-02,496857.14285714284
0,4,2016-06,733428.5714285715
1,4,2016-07,768928.5714285715
2,4,2016-08,698428.5714285715
3,4,2016-09,936428.5714285715
4,4,2016-10,762714.2857142857
5,4,2016-11,859571.4285714285
6,4,2016-12,1069857.142857143
7,4,2017-01,689142.8571428572
8,4,2017-02,1050142.857142857
9,4,2017-03,970285.7142857143
10,4,2017-04,1085171.4285714286
11,4,2017-05,1035857.1428571428
12,4,2017-06,894142.8571428572
13,4,2017-07,1027285.7142857143
14,4,2017-08,1186857.142857143
15,4,2017-09,972571.4285714286
16,4,2017-10,1060571.4285714286
